Evaluation of the ground state energy of hydrogen found by Lanczos tridiagonalization and QR diagonalization:

Calculated:    -0.499 Hartree
Exact:         -0.5 Hartree

dr =            0.1 Bohr radii
rmax =          8 Bohr radii
rmax/dr =       79




# of Lanczos iterations n:    Found ground state energy E0:
1                             26.4258634042508
2                             3.76733632543889
3                             1.26394080449997
4                             0.386257131433996
5                             0.0680257283899086
6                             -0.109916065373696
7                             -0.170051914555216
8                             -0.211924504910748
9                             -0.253429094636328
10                             -0.278355550325862
11                             -0.294145847688632
12                             -0.31079482093005
13                             -0.323451783470979
14                             -0.335733674380234
15                             -0.350270968796252
16                             -0.362233028159039
17                             -0.374718351732319
18                             -0.383367053645026
19                             -0.392937575817028
20                             -0.402909835011173
21                             -0.415407183683385
22                             -0.0116660299031538
23                             -0.433482541051578
24                             -0.441429870753047
25                             -0.448313944994675
26                             -0.4562588126768
27                             -0.464757864027815
28                             -0.472772153221169
29                             -0.478189618909396
30                             -0.482262926893941
31                             -0.485418132144577
32                             -0.488845452494997
33                             -0.490770828234009
34                             -0.492473820066351
35                             -0.493810779549288
36                             -0.494975202149391
37                             -0.495880775594803
38                             -0.496403292587116
39                             -0.496805379116138
40                             -0.497117807332343
41                             -0.497326996553012
42                             -0.497530321572612
43                             -0.49771650504044
44                             -0.497908003135803
45                             -0.498099379102177
46                             -0.49824076558595
47                             -0.498370561831014
48                             -0.498453035810085
49                             -0.498504672580715
50                             -0.498536743095398
51                             -0.498559983873211
52                             -0.482617953790242
53                             -0.412402515747506
54                             -0.498519354025817
55                             -0.498673612611917
56                             -0.498684336590388
57                             -0.498689909458789
58                             -0.498695599815047
59                             -0.498702748910625
60                             -0.498708813428248
61                             -0.498713568790614
62                             -0.498718607373524
63                             -0.498722044162566
64                             -0.498724077071689
65                             -0.498725296007879
66                             -0.498726179180047
67                             -0.498727797463461
68                             -0.498728964951151
69                             -0.498729543069569
70                             -0.498730168871295
71                             -0.498730595264848
72                             -0.498730733975495
73                             -0.498730767326219
74                             -0.498730774346547
75                             -0.498730778265745
76                             -0.498730784047049
77                             -0.498730787146667
78                             -0.49873078735524
